id,leaf_day(15),flo_day,budburst(9),Leaf_expand(11),GEN.SPA,Force,Light,Chill
CORCOR07_HF_WS1_19,NA,NA,NA,NA,COR.COR,W,S,1
ILEMUC 14 HF DB_WS1_19,37,NA,28,33,ILE.MUC,W,S,1
ACERUB29 HF DB_WS1_18,NA,NA,NA,NA,ACE.RUB,W,S,1
ILEVER08 HF DB_WS1_18,22,NA,17,19,ILE.VER,W,S,1
PRUVIR 3 HF DB_WS1_18,NA,NA,35,40,PRU.VIR,W,S,1
ACEPEN16 HF DB_WS1_17,40,40,33,35,ACE.PEN,W,S,1
ACERUB26 HF DB_WS1_17,NA,56,NA,NA,ACE.RUB,W,S,1
VACCOR 7 HF DB_WS1_17,28,NA,17,24,VAC.COR,W,S,1
ACEPEN14 HF DB_WS1_16,54,NA,40,51,ACE.PEN,W,S,1
ILEMUC 10 HF DB_WS1_16,62,89,62,62,ILE.MUC,W,S,1
PRUVIR 7 HF DB_WS1_16,NA,NA,NA,NA,AME.SPP,W,S,1
ACESAC18 HF DB_WS1_15,NA,NA,NA,NA,ACE.SAC,W,S,1
ILEVER05 HF DB_WS1_15,24,NA,17,22,ILE.VER,W,S,1
PRUPEN17 HF DB_WS1_15,17,24,9,14,PRU.PEN,W,S,1
ACERUB28 HF DB_WS1_14,NA,NA,NA,NA,ACE.RUB,W,S,1
ILEMUC 12 HF DB_WS1_14,NA,NA,NA,NA,ILE.MUC,W,S,1
ILEVER 5 HF DB_WS1_14,28,NA,14,22,ILE.VER,W,S,1
COMPER 3 HF DB_WS1_13,26,12,17,22,COM.PER,W,S,1
PRUVIR 4 HF DB_WS1_13,35,45,33,33,PRU.VIR,W,S,1
VACCOR 1 HF DB_WS1_13,22,17,12,17,VAC.COR,W,S,1
COMPER 3 HF DB_WS1_12,22,NA,14,17,COM.PER,W,S,1
CORCOR10_HF_WS1_12,65,NA,62,62,COR.COR,W,S,1
ILEMUC 12 HF DB_WS1_12,79,79,76,79,ILE.MUC,W,S,1
BETALL26 HF DB_WS1_11,45,NA,33,40,BET.ALL,W,S,1
COMPER 2 HF DB_WS1_11,48,9,19,26,COM.PER,W,S,1
PRUPEN 22 HF DB_WS1_11,24,NA,12,19,PRU.PEN,W,S,1
BETALL32 HF DB_WS1_10,51,NA,42,45,BET.ALL,W,S,1
COMPER 3 HF DB_WS1_10,26,NA,14,17,COM.PER,W,S,1
PRUPEN17 HF DB_WS1_10,NA,NA,NA,NA,PRU.PEN,W,S,1
ACERUB25 HF DB_WS1_1,NA,NA,NA,NA,ACE.RUB,W,S,1
ILEMUC 14 HF DB_WS1_1,51,NA,45,48,ILE.MUC,W,S,1
VIBACE07 HF DB_WS1_1,NA,NA,NA,NA,VIB.ACE,W,S,1
COMPER ? HF DB_WL1_9,42,14,28,35,COM.PER,W,L,1
ILEMUC 13 HF DB_WL1_9,33,33,22,28,ILE.MUC,W,L,1
VIBACE08 HF DB_WL1_9,24,NA,17,19,VIB.ACE,W,L,1
ACERUB25 HF DB_WL1_8,NA,NA,NA,NA,ACE.RUB,W,L,1
BETALL31 HF DB_WL1_8,40,NA,33,35,BET.ALL,W,L,1
COMPER 4 HF DB_WL1_8,33,12,9,22,COM.PER,W,L,1
BETALL31 HF DB_WL1_7,51,NA,33,42,BET.ALL,W,L,1
CORCOR06 HF_WL1_7,26,NA,22,24,COR.COR,W,L,1
PRUPEN 26 HF DB_WL1_7,22,NA,12,14,PRU.PEN,W,L,1
ACEPEN17 HF DB_WL1_6,40,NA,26,37,ACE.PEN,W,L,1
ACESAC18 HF DB_WL1_6,56,NA,51,51,ACE.SAC,W,L,1
PRUPEN17 HF DB_WL1_6,17,22,9,14,PRU.PEN,W,L,1
BETALL34 HF DB_WL1_5,45,NA,24,33,BET.ALL,W,L,1
CORCOR10_HF_WL1_5,NA,NA,NA,NA,COR.COR,W,L,1
ILEMUC 9 HF DB_WL1_5,28,NA,24,26,ILE.MUC,W,L,1
ACEPEN20 HF DB_WL1_4,42,NA,33,37,ACE.PEN,W,L,1
CORCOR09_HF_WL1_4,48,NA,35,35,COR.COR,W,L,1
ILEMUC 9 HF DB_WL1_4,28,NA,22,26,ILE.MUC,W,L,1
ACESAC13 HF DB_WL1_3,51,NA,48,51,ACE.SAC,W,L,1
BETALL31 HF DB_WL1_3,35,NA,28,30,BET.ALL,W,L,1
PRUPEN 24 HF DB_WL1_3,17,22,7,12,PRU.PEN,W,L,1
ACEPEN14 HF DB_WL1_24,NA,NA,NA,NA,ACE.PEN,W,L,1
ILEMUC 12 HF DB_WL1_24,62,NA,40,54,ILE.MUC,W,L,1
ILEVER06 HF DB_WL1_24,24,62,19,22,ILE.VER,W,L,1
ILEMUC 14 HF DB_WL1_23,24,NA,22,22,ILE.MUC,W,L,1
ILEVER04 HF DB_WL1_23,22,NA,17,19,ILE.VER,W,L,1
VACCOR 7 HF DB_WL1_23,22,17,12,14,VAC.COR,W,L,1
CORCOR 15 HF DB_WL1_22,NA,NA,NA,NA,COR.COR,W,L,1
PRUPEN 23 HF DB_WL1_22,12,NA,9,12,PRU.PEN,W,L,1
VACCOR 7 HF DB_WL1_22,28,NA,17,24,VAC.COR,W,L,1
BETALL26 HF DB_WL1_21,35,NA,33,33,BET.ALL,W,L,1
ILEMUC 13 HF DB_WL1_21,35,35,30,33,ILE.MUC,W,L,1
VACCOR 2 HF DB_WL1_21,22,19,14,17,VAC.COR,W,L,1
ACERUB23 HF DB_WL1_20,73,28,73,73,ACE.RUB,W,L,1
ACESAC13 HF DB_WL1_20,51,NA,48,51,ACE.SAC,W,L,1
COMPER 6 HF DB_WL1_20,30,17,14,22,COM.PER,W,L,1
ACEPEN19 HF DB_WL1_2,26,NA,17,24,ACE.PEN,W,L,1
COMPER 5 HF DB_WL1_2,35,17,26,28,COM.PER,W,L,1
VIBACE06 HF DB_WL1_2,45,NA,30,33,VIB.ACE,W,L,1
ILEVER07 HF DB_WL1_19,19,NA,12,17,ILE.VER,W,L,1
PRUVIR 2 HF DB_WL1_19,37,NA,30,30,PRU.VIR,W,L,1
VIBACE06 HF DB_WL1_19,NA,NA,NA,NA,VIB.ACE,W,L,1
ACESAC11 HF DB_WL1_18,70,NA,68,68,ACE.SAC,W,L,1
CORCOR16 HF_WL1_18,54,28,28,35,COR.COR,W,L,1
VIBACE4 HF DB_WL1_18,NA,NA,NA,NA,VIB.ACE,W,L,1
ACEPEN14 HF DB_WL1_17,42,NA,28,40,ACE.PEN,W,L,1
ACESAC17 HF DB_WL1_17,68,NA,65,68,ACE.SAC,W,L,1
VIBACE11 HF DB_WL1_17,40,NA,28,33,VIB.ACE,W,L,1
ACEPEN16 HF DB_WL1_16,54,NA,33,51,ACE.PEN,W,L,1
ACERUB28 HF DB_WL1_16,NA,NA,NA,NA,ACE.RUB,W,L,1
ILEVER06 HF DB_WL1_16,22,NA,14,17,ILE.VER,W,L,1
ACERUB23 HF DB_WL1_15,68,33,62,65,ACE.RUB,W,L,1
ILEVER05 HF DB_WL1_15,22,NA,14,17,ILE.VER,W,L,1
PRUVIR 4 HF DB_WL1_15,33,NA,26,28,PRU.VIR,W,L,1
BETALL31 HF DB_WL1_14,42,NA,35,37,BET.ALL,W,L,1
COMPER 5 HF DB_WL1_14,42,12,17,24,COM.PER,W,L,1
CORCOR16_HF_WL1_14,54,NA,33,40,COR.COR,W,L,1
ACERUB22 HF DB_WL1_13,NA,NA,NA,NA,ACE.RUB,W,L,1
COMPER 3 HF DB_WL1_13,45,37,28,30,COM.PER,W,L,1
ILEVER05 HF DB_WL1_13,NA,NA,28,37,ILE.VER,W,L,1
PRUPEN 22 HF DB_WL1_12,22,NA,9,17,PRU.PEN,W,L,1
PRUVIR 3 HF DB_WL1_12,30,40,28,28,PRU.VIR,W,L,1
VACCOR 9 HF DB_WL1_12,17,NA,9,14,VAC.COR,W,L,1
PRUVIR 6 HF DB_WL1_11,35,NA,28,30,PRU.VIR,W,L,1
VACCOR 7 HF DB_WL1_11,26,19,17,24,VAC.COR,W,L,1
VIBACE09 HF DB_WL1_11,28,NA,22,26,VIB.ACE,W,L,1
ACESAC12 HF DB_WL1_10,NA,NA,NA,NA,ACE.SAC,W,L,1
PRUVIR 2 HF DB_WL1_10,37,NA,28,33,PRU.VIR,W,L,1
VACCOR 6 HF DB_WL1_10,22,24,14,17,VAC.COR,W,L,1
ACERUB27 HF DB_WL1_1,NA,NA,NA,NA,ACE.RUB,W,L,1
PRUPEN 24 HF DB_WL1_1,22,22,9,14,PRU.PEN,W,L,1
PRUVIR 2 HF DB_WL1_1,48,NA,33,37,PRU.VIR,W,L,1
ACEPEN15 HF DB_CS1_9,62,NA,48,48,ACE.PEN,C,S,1
COMPER 8 HF DB_CS1_9,62,35,40,51,COM.PER,C,S,1
PRUPEN 21 HF DB_CS1_9,48,NA,30,35,BET.SPP,C,S,1
COMPER 6 HF DB_CS1_8,NA,28,48,NA,COM.PER,C,S,1
CORCOR 16 HF DB_CS1_8,NA,NA,54,NA,COR.COR,C,S,1
PRUPEN 22 HF DB_CS1_8,40,37,17,35,PRU.PEN,C,S,1
ACESAC11 HF DB_CS1_7,97,NA,86,91,ACE.SAC,C,S,1
BETALL26 HF DB_CS1_7,65,NA,30,56,BET.ALL,C,S,1
PRUPEN 21 HF DB_CS1_7,45,NA,33,35,BET.SPP,C,S,1
ACEPEN18 HF DB_CS1_6,51,51,35,45,ACE.PEN,C,S,1
BETALL32 HF DB_CS1_6,59,NA,48,54,BET.ALL,C,S,1
VACCOR 6 HF DB_CS1_6,45,NA,37,42,VAC.COR,C,S,1
ACERUB28 HF DB_CS1_5,NA,NA,NA,NA,ACE.RUB,C,S,1
PRUVIR 7 HF DB_CS1_5,NA,NA,NA,NA,AME.SPP,C,S,1
VACCOR 9 HF DB_CS1_5,30,NA,17,26,VAC.COR,C,S,1
COMPER 8 HF DB_CS1_4,68,28,33,37,COM.PER,C,S,1
VACCOR 9 HF DB_CS1_4,30,NA,12,19,VAC.COR,C,S,1
VIBACE10 HF DB_CS1_4,54,82,45,51,VIB.ACE,C,S,1
ACESAC11 HF DB_CS1_3,97,NA,86,91,ACE.SAC,C,S,1
CORCOR14 HF DB_CS1_3,62,NA,54,62,COR.COR,C,S,1
ILEVER03 HF DB_CS1_3,35,107,28,33,ILE.VER,C,S,1
ACERUB23 HF DB_CS1_24,NA,NA,NA,NA,ACE.RUB,C,S,1
VACCOR 3 HF DB_CS1_24,33,37,17,26,VAC.COR,C,S,1
VIBACE02 HF DB_CS1_24,62,97,48,54,VIB.ACE,C,S,1
CORCOR 15 HF DB_CS1_23,82,40,68,79,COR.COR,C,S,1
ILEMUC 12 HF DB_CS1_23,NA,NA,NA,NA,ILE.MUC,C,S,1
VACCOR 3 HF DB_CS1_23,35,NA,22,33,VAC.COR,C,S,1
ACERUB28 HF DB_CS1_22,NA,NA,NA,NA,ACE.RUB,C,S,1
COMPER 6 HF DB_CS1_22,91,28,37,65,COM.PER,C,S,1
CORCOR 15 HF DB_CS1_22,73,37,62,68,COR.COR,C,S,1
BETALL26 HF DB_CS1_21,65,NA,51,54,BET.ALL,C,S,1
ILEVER01 HF DB_CS1_21,37,NA,28,35,ILE.VER,C,S,1
VIBACE07 HF DB_CS1_21,51,NA,42,45,VIB.ACE,C,S,1
ACERUB27 HF DB_CS1_20,NA,NA,NA,NA,ACE.RUB,C,S,1
ILEMUC 13 HF DB_CS1_20,NA,NA,NA,NA,ILE.MUC,C,S,1
PRUPEN16 HF DB_CS1_20,37,NA,12,26,PRU.PEN,C,S,1
ILEMUC 14 HF DB_CS1_2,NA,NA,NA,NA,ILE.MUC,C,S,1
PRUPEN 21 HF DB_CS1_2,48,NA,33,37,BET.SPP,C,S,1
VIBACE4 HF DB_CS1_2,68,NA,56,56,VIB.ACE,C,S,1
ACEPEN18 HF DB_CS1_19,54,54,40,51,ACE.PEN,C,S,1
ILEMUC 11 HF DB_CS1_19,NA,NA,NA,NA,ILE.MUC,C,S,1
PRUVIR 4 HF DB_CS1_19,NA,NA,NA,NA,PRU.VIR,C,S,1
ACEPEN19 HF DB_CS1_18,54,54,40,48,ACE.PEN,C,S,1
PRUVIR 4 HF DB_CS1_18,NA,NA,NA,NA,PRU.VIR,C,S,1
VIBACE01 HF DB_CS1_18,73,NA,62,65,VIB.ACE,C,S,1
ACERUB25 HF DB_CS1_17,89,NA,79,86,ACE.RUB,C,S,1
ACESAC12 HF DB_CS1_17,97,NA,89,94,ACE.SAC,C,S,1
BETALL25 HF DB_CS1_17,51,NA,45,48,BET.ALL,C,S,1
ACEPEN20 HF DB_CS1_16,56,NA,40,48,ACE.PEN,C,S,1
ACESAC19 HF DB_CS1_16,NA,NA,NA,NA,ACE.SAC,C,S,1
ILEMUC 10 HF DB_CS1_16,NA,NA,NA,NA,ILE.MUC,C,S,1
COMPER 1 HF DB_CS1_15,48,30,33,40,COM.PER,C,S,1
CORCOR09_HF_CS1_15,65,40,56,62,COR.COR,C,S,1
ILEVER01 HF DB_CS1_15,28,NA,19,24,ILE.VER,C,S,1
ILEMUC 11 HF DB_CS1_14,NA,NA,NA,NA,ILE.MUC,C,S,1
ILEVER05 HF DB_CS1_14,30,NA,22,28,ILE.VER,C,S,1
PRUVIR 5 HF DB_CS1_14,NA,NA,NA,NA,PRU.VIR,C,S,1
ILEVER6 HF DB_CS1_13,42,104,33,40,ILE.VER,C,S,1
PRUPEN16 HF DB_CS1_13,37,45,12,28,PRU.PEN,C,S,1
PRUVIR 5 HF DB_CS1_13,NA,NA,NA,NA,PRU.VIR,C,S,1
ACEPEN14 HF DB_CS1_12,NA,NA,NA,NA,ACE.PEN,C,S,1
COMPER 6 HF DB_CS1_12,48,NA,33,40,COM.PER,C,S,1
ILEVER05 HF DB_CS1_12,40,NA,33,35,ILE.VER,C,S,1
ACERUB22 HF DB_CS1_11,NA,NA,112,112,ACE.RUB,C,S,1
PRUVIR 7 HF DB_CS1_11,104,NA,99,101,AME.SPP,C,S,1
VACCOR 10 HF DB_CS1_11,37,33,17,26,VAC.COR,C,S,1
ACESAC12 HF DB_CS1_10,82,NA,76,79,ACE.SAC,C,S,1
BETALL26 HF DB_CS1_10,51,NA,48,48,BET.ALL,C,S,1
VIBACE? HF DB_CS1_10,NA,NA,91,NA,VIB.ACE,C,S,1
ACESAC17 HF DB_CS1_1,110,NA,101,110,ACE.SAC,C,S,1
BETALL34 HF DB_CS1_1,70,NA,56,65,BET.ALL,C,S,1
CORCOR06 HF_CS1_1,48,NA,37,42,COR.COR,C,S,1
ACEPEN16 HF DB_CL1_9,48,56,33,42,ACE.PEN,C,L,1
ILEVER01 HF DB_CL1_9,33,NA,26,30,ILE.VER,C,L,1
VIBACE5 HF DB_CL1_9,45,NA,35,40,VIB.ACE,C,L,1
COMPER 3 HF DB_CL1_8,56,35,40,48,COM.PER,C,L,1
ILEVER06 HF DB_CL1_8,30,NA,24,26,ILE.VER,C,L,1
PRUPEN 21 HF DB_CL1_8,40,NA,30,35,BET.SPP,C,L,1
ACEPEN16 HF DB_CL1_7,51,45,33,42,ACE.PEN,C,L,1
BETALL32 HF DB_CL1_7,65,NA,54,56,BET.ALL,C,L,1
ILEMUC 12 HF DB_CL1_7,51,54,45,48,ILE.MUC,C,L,1
ILEMUC 11 HF DB_CL1_6,45,54,37,42,ILE.MUC,C,L,1
ILEVER09 HF DB_CL1_6,28,NA,28,28,ILE.VER,C,L,1
VIBACE07 HF DB_CL1_6,51,NA,35,42,VIB.ACE,C,L,1
ACESAC18 HF DB_CL1_5,NA,NA,99,NA,ACE.SAC,C,L,1
COMPER 2 HF DB_CL1_5,62,35,48,56,COM.PER,C,L,1
PRUVIR 2 HF DB_CL1_5,NA,NA,NA,NA,PRU.VIR,C,L,1
ACEPEN20 HF DB_CL1_4,51,NA,28,40,ACE.PEN,C,L,1
ACERUB23 HF DB_CL1_4,NA,NA,110,NA,ACE.RUB,C,L,1
BETALL25 HF DB_CL1_4,51,NA,35,40,BET.ALL,C,L,1
COMPER 1 HF DB_CL1_3,54,30,33,37,COM.PER,C,L,1
CORCOR07_HF_CL1_3,65,62,54,59,COR.COR,C,L,1
ILEMUC 9 HF DB_CL1_3,45,42,33,42,ILE.MUC,C,L,1
ACEPEN17 HF DB_CL1_24,51,54,37,48,ACE.PEN,C,L,1
COMPER 1 HF DB_CL1_24,48,19,35,37,COM.PER,C,L,1
ILEMUC 14 HF DB_CL1_24,42,NA,33,37,ILE.MUC,C,L,1
CORCOR 17 HF DB_CL1_23,56,45,48,51,COR.COR,C,L,1
ILEVER03 HF DB_CL1_23,NA,NA,22,28,ILE.VER,C,L,1
PRUPEN 22 HF DB_CL1_23,22,35,12,17,PRU.PEN,C,L,1
CORCOR 15 HF DB_CL1_22,68,33,62,65,COR.COR,C,L,1
PRUPEN 22 HF DB_CL1_22,42,NA,28,33,PRU.PEN,C,L,1
VIBACE07 HF DB_CL1_22,40,73,33,35,VIB.ACE,C,L,1
BETALL26 HF DB_CL1_21,62,NA,48,51,BET.ALL,C,L,1
CORCOR 15 HF DB_CL1_21,65,33,54,62,COR.COR,C,L,1
VACCOR 6 HF DB_CL1_21,37,33,24,30,VAC.COR,C,L,1
ACESAC17 HF DB_CL1_20,89,NA,79,82,ACE.SAC,C,L,1
COMPER 1 HF DB_CL1_20,51,37,35,42,COM.PER,C,L,1
VACCOR 8 HF DB_CL1_20,26,26,12,19,VAC.COR,C,L,1
ACESAC17 HF DB_CL1_2,86,NA,82,84,ACE.SAC,C,L,1
BETALL33 HF DB_CL1_2,76,NA,65,68,BET.ALL,C,L,1
ILEVER07 HF DB_CL1_2,28,NA,22,26,ILE.VER,C,L,1
ACESAC13 HF DB_CL1_19,84,NA,82,84,ACE.SAC,C,L,1
PRUVIR 5 HF DB_CL1_19,NA,NA,59,NA,PRU.VIR,C,L,1
VIBACE02 HF DB_CL1_19,51,NA,42,45,VIB.ACE,C,L,1
ACERUB22 HF DB_CL1_18,99,NA,94,94,ACE.RUB,C,L,1
PRUVIR 4 HF DB_CL1_18,65,79,62,62,PRU.VIR,C,L,1
VIBACE5 HF DB_CL1_18,40,76,33,35,VIB.ACE,C,L,1
ILEMUC 12 HF DB_CL1_17,42,45,35,40,ILE.MUC,C,L,1
PRUVIR 6 HF DB_CL1_17,NA,NA,99,107,PRU.VIR,C,L,1
VACCOR 2 HF DB_CL1_17,33,35,22,26,VAC.COR,C,L,1
ACEPEN20 HF DB_CL1_16,59,NA,40,51,ACE.PEN,C,L,1
ACESAC18 HF DB_CL1_16,NA,NA,NA,NA,ACE.SAC,C,L,1
COMPER 1 HF DB_CL1_16,54,28,33,37,COM.PER,C,L,1
ACESAC19 HF DB_CL1_15,91,NA,89,91,ACE.SAC,C,L,1
ILEVER09 HF DB1_CL1_15,28,NA,22,24,ILE.VER,C,L,1
PRUPEN 21 HF DB_CL1_15,42,NA,33,33,BET.SPP,C,L,1
ACERUB27 HF DB_CL1_14,NA,NA,NA,NA,ACE.RUB,C,L,1
CORCOR09_HF_CL1_14,62,NA,48,54,COR.COR,C,L,1
VACCOR 2 HF DB_CL1_14,45,30,17,26,VAC.COR,C,L,1
ACERUB26 HF DB_CL1_13,91,NA,84,89,ACE.RUB,C,L,1
ILEMUC 11 HF DB_CL1_13,35,NA,22,26,ILE.MUC,C,L,1
PRUVIR 6 HF DB_CL1_13,54,76,33,48,PRU.VIR,C,L,1
ACERUB22 HF DB_CL1_12,99,NA,91,94,ACE.RUB,C,L,1
PRUVIR 7 HF DB_CL1_12,NA,NA,NA,NA,AME.SPP,C,L,1
VIBACE10 HF DB_CL1_12,51,82,37,42,VIB.ACE,C,L,1
ACEPEN15 HF DB_CL1_11,62,59,40,51,ACE.PEN,C,L,1
ACERUB22 HF DB_CL1_11,97,NA,89,94,ACE.RUB,C,L,1
PRUPEN 26 HF DB_CL1_11,35,33,12,22,PRU.PEN,C,L,1
BETALL31 HF DB_CL1_10,56,NA,42,51,BET.ALL,C,L,1
PRUPEN 24 HF DB_CL1_10,45,NA,30,35,PRU.PEN,C,L,1
VACCOR 6 HF DB_CL1_10,35,NA,26,33,VAC.COR,C,L,1
BETALL26 HF DB_CL1_1,56,NA,42,51,BET.ALL,C,L,1
CORCOR07_HF_CL1_1,54,NA,45,48,COR.COR,C,L,1
VACCOR 1 HF DB_CL1_1,28,33,12,24,VAC.COR,C,L,1
